student_id,age,gender,school_type,parent_education,study_hours,attendance_percentage,internet_access,travel_time,extra_activities,study_method,math_score,science_score,english_score,overall_score,final_grade
6396,16,male,private,graduate,5.2,67.9,yes,<15 min,yes,coaching,52.6,69.8,62.9,71.0,c
6397,16,male,public,no formal,3.5,82.3,yes,>60 min,yes,mixed,52.6,62.0,62.7,54.7,e
6398,17,female,private,no formal,1.1,57.6,yes,30-60 min,no,group study,37.5,46.2,40.2,34.0,f
6399,15,male,public,post graduate,4.3,52.2,yes,30-60 min,no,online videos,81.0,60.0,68.4,62.4,d
6400,17,male,private,graduate,3.3,77.8,yes,15-30 min,yes,group study,63.9,44.3,61.0,51.8,e
6401,19,female,public,high school,5.4,56.8,yes,<15 min,yes,coaching,48.5,47.6,85.8,59.8,d
6402,14,male,public,post graduate,3.5,88.5,no,15-30 min,yes,mixed,72.0,91.0,72.3,72.1,c
6403,15,female,public,phd,3.9,78.3,yes,>60 min,no,online videos,54.3,49.1,49.5,55.1,d
6404,14,female,private,graduate,6.1,97.4,yes,<15 min,no,online videos,74.6,79.5,62.7,79.7,c
6405,19,male,public,high school,1.2,74.6,yes,15-30 min,yes,online videos,32.3,42.8,32.3,35.4,f
6406,17,female,public,graduate,5.4,54.7,yes,30-60 min,no,notes,53.3,71.6,74.4,69.1,d
6407,15,other,private,high school,2.2,79.0,yes,<15 min,yes,notes,30.5,42.2,59.5,46.7,e
6408,14,male,private,phd,7.4,95.9,no,15-30 min,no,textbook,88.4,90.5,86.7,89.0,b
6409,15,male,private,post graduate,7.4,65.9,yes,30-60 min,yes,online videos,76.2,67.9,82.5,78.1,c
6410,18,female,public,high school,0.9,69.5,yes,>60 min,no,mixed,41.5,41.6,22.0,41.9,e
6411,16,other,public,graduate,0.5,75.1,yes,>60 min,yes,online videos,36.5,27.8,55.8,38.7,f
6412,15,other,public,no formal,2.7,85.9,no,<15 min,no,mixed,38.9,49.9,58.9,49.3,e
6413,19,male,private,graduate,3.3,69.0,yes,30-60 min,no,group study,58.4,49.5,34.0,44.9,e
6414,15,male,private,no formal,5.6,51.5,yes,30-60 min,yes,mixed,85.0,80.8,60.4,75.3,c
6415,19,female,private,graduate,1.3,79.9,yes,>60 min,yes,group study,48.7,36.2,48.1,49.5,e
6416,17,other,public,high school,8.0,75.3,yes,15-30 min,yes,mixed,94.6,90.3,97.8,97.1,a
6417,17,female,private,graduate,5.3,79.9,yes,<15 min,no,mixed,82.9,69.8,54.1,70.9,c
6418,18,female,public,no formal,6.7,68.2,yes,>60 min,no,group study,67.1,78.3,84.0,73.3,c
6419,19,male,private,phd,4.9,71.5,yes,30-60 min,yes,mixed,54.4,87.4,80.7,69.1,d
6420,15,other,private,no formal,5.6,86.5,yes,30-60 min,yes,notes,71.2,60.4,66.2,69.9,d
6421,18,female,public,high school,4.2,75.9,yes,30-60 min,no,online videos,51.2,50.7,55.1,54.5,e
6422,18,male,public,no formal,0.8,57.4,yes,15-30 min,yes,notes,30.2,11.5,18.2,24.9,f
6423,16,female,public,high school,6.4,76.0,yes,<15 min,yes,mixed,87.2,71.4,64.8,78.7,c
6424,18,male,private,diploma,5.9,69.9,yes,>60 min,yes,textbook,50.1,86.6,69.7,67.3,d
6425,15,female,private,graduate,4.1,81.4,yes,>60 min,no,textbook,58.2,70.5,74.0,67.4,d
6426,18,male,private,post graduate,3.9,72.8,yes,15-30 min,no,group study,65.6,51.8,60.4,61.3,d
6427,17,female,private,high school,6.8,92.7,no,15-30 min,yes,coaching,73.4,92.5,90.1,83.8,c
6428,19,female,public,diploma,1.2,64.8,no,>60 min,yes,textbook,16.9,18.9,30.8,27.7,f
6429,18,female,private,diploma,5.3,79.3,yes,15-30 min,no,mixed,78.5,91.5,96.2,80.7,c
6430,15,other,public,no formal,3.0,52.0,yes,30-60 min,no,mixed,47.5,47.0,30.9,43.8,e
6431,18,male,public,diploma,3.3,52.2,yes,<15 min,no,mixed,69.1,36.1,38.5,47.6,e
6432,19,female,public,phd,7.6,72.7,yes,30-60 min,no,coaching,65.5,59.2,78.9,81.4,c
6433,19,other,public,phd,6.2,99.8,yes,30-60 min,yes,online videos,84.4,78.7,76.6,85.7,b
6434,19,female,private,diploma,7.8,90.9,yes,15-30 min,yes,group study,100.0,100.0,91.2,95.9,a
6435,18,other,private,high school,6.8,58.6,yes,15-30 min,no,notes,75.2,68.8,90.7,83.3,c
6436,19,other,private,no formal,1.3,87.3,yes,15-30 min,yes,online videos,72.5,59.0,58.4,53.5,e
6437,17,other,private,high school,4.6,72.7,yes,>60 min,yes,notes,67.0,46.2,64.9,65.1,d
6438,15,male,public,diploma,3.8,83.1,yes,30-60 min,yes,notes,47.7,68.8,65.6,59.0,d
6439,16,male,public,no formal,4.5,75.6,yes,30-60 min,yes,online videos,72.4,76.0,52.2,62.6,d
6440,16,male,public,phd,4.8,50.8,yes,>60 min,no,notes,45.9,46.5,52.1,54.6,e
6441,14,other,public,no formal,2.8,72.2,yes,15-30 min,yes,mixed,38.8,66.7,44.2,56.5,d
6442,14,female,private,post graduate,6.7,53.8,yes,30-60 min,yes,notes,86.2,66.4,87.1,84.5,c
6443,17,female,private,high school,4.1,52.1,yes,>60 min,yes,textbook,49.2,36.5,58.6,46.6,e
6444,15,female,public,graduate,1.4,71.6,yes,30-60 min,yes,coaching,33.3,63.8,42.5,42.2,e
6445,18,male,public,no formal,4.3,51.5,yes,<15 min,no,online videos,58.1,50.9,74.3,59.2,d
6446,18,other,public,diploma,2.4,60.1,yes,15-30 min,no,notes,56.4,32.6,38.3,50.2,e
6447,15,female,private,no formal,7.5,58.9,yes,>60 min,yes,group study,78.5,87.3,68.5,81.2,c
6448,17,other,public,graduate,4.8,54.7,yes,<15 min,yes,group study,65.1,59.6,74.1,69.9,d
6449,14,male,private,high school,2.0,54.1,yes,30-60 min,yes,coaching,36.5,36.2,19.1,29.0,f
6450,16,other,public,graduate,5.8,95.8,yes,>60 min,no,group study,82.2,61.3,76.1,77.3,c
6451,18,male,public,diploma,0.8,81.4,yes,30-60 min,yes,notes,58.4,42.7,38.8,45.1,e
6452,14,female,public,phd,6.2,99.3,yes,>60 min,no,online videos,94.2,97.4,95.1,80.8,c
6453,17,male,private,high school,2.4,83.1,yes,15-30 min,no,online videos,59.4,69.1,55.9,59.7,d
6454,18,other,private,graduate,2.2,59.4,yes,>60 min,no,online videos,67.2,48.8,48.9,51.0,e
6455,18,other,private,post graduate,4.7,90.6,yes,>60 min,yes,coaching,84.8,49.7,60.1,72.8,c
6456,17,female,private,phd,0.8,96.4,yes,15-30 min,no,coaching,21.9,37.8,48.1,37.5,f
6457,17,male,private,graduate,1.9,64.5,yes,30-60 min,no,notes,34.2,50.3,26.7,32.9,f
6458,17,female,private,high school,3.6,56.3,yes,>60 min,no,group study,50.3,63.2,59.7,56.6,d
6459,14,male,private,high school,3.8,98.8,yes,15-30 min,yes,mixed,83.8,83.2,84.4,79.0,c
6460,14,other,private,no formal,6.3,82.0,yes,<15 min,no,notes,96.2,92.0,69.3,92.7,b
6461,17,male,private,phd,2.3,87.1,yes,30-60 min,yes,online videos,37.8,57.5,34.3,47.2,e
6462,17,female,public,phd,7.7,70.9,yes,<15 min,no,mixed,96.0,83.7,88.0,91.0,b
6463,16,male,public,post graduate,0.7,88.6,yes,>60 min,yes,online videos,42.9,26.7,35.9,39.5,f
6464,19,female,private,post graduate,6.1,59.5,yes,15-30 min,yes,online videos,61.2,65.1,52.2,64.4,d
6465,19,other,private,post graduate,6.5,51.2,yes,<15 min,yes,notes,80.5,65.2,64.0,71.1,c
6466,15,male,public,no formal,6.8,66.9,yes,<15 min,no,notes,81.0,66.1,69.8,72.0,c
6467,17,male,public,diploma,2.8,96.1,yes,<15 min,yes,notes,63.8,57.9,53.0,61.7,d
6468,14,other,private,post graduate,7.8,83.0,no,>60 min,yes,online videos,88.1,77.1,80.6,87.2,b
6469,14,female,private,graduate,6.1,97.4,yes,<15 min,no,online videos,74.6,79.5,62.7,79.7,c
6470,18,other,private,high school,6.7,94.8,yes,>60 min,no,group study,93.0,76.7,82.2,84.6,c
6471,17,other,private,graduate,3.0,64.9,yes,>60 min,no,group study,47.1,46.2,44.1,55.7,d
6472,16,other,private,no formal,3.6,69.1,yes,<15 min,yes,online videos,70.7,53.4,96.7,60.5,d
6473,19,male,private,no formal,0.9,59.1,yes,30-60 min,no,notes,57.6,54.3,27.7,37.5,f
6474,14,male,public,post graduate,6.9,88.8,yes,30-60 min,yes,mixed,91.9,100.0,95.8,95.1,a
6475,19,male,private,high school,3.9,71.3,yes,15-30 min,no,mixed,53.8,46.4,54.2,52.6,e
6476,15,other,public,high school,4.9,71.6,yes,<15 min,yes,online videos,65.5,65.2,70.4,62.9,d
6477,17,female,private,post graduate,7.1,93.9,yes,<15 min,no,mixed,92.3,100.0,88.9,100.0,a
6478,19,female,private,graduate,3.6,91.7,no,<15 min,no,coaching,59.6,69.8,68.2,61.6,d
6479,19,male,public,diploma,6.3,81.2,yes,30-60 min,yes,textbook,64.6,91.8,81.6,82.8,c
6480,16,male,public,no formal,3.5,82.3,yes,>60 min,yes,mixed,52.6,62.0,62.7,54.7,e
6481,14,female,public,phd,7.9,88.0,yes,30-60 min,no,notes,96.3,98.5,100.0,100.0,a
6482,16,female,public,diploma,1.3,76.1,no,>60 min,yes,notes,31.8,47.8,50.2,50.3,e
6483,19,other,public,diploma,4.5,66.8,yes,15-30 min,no,mixed,69.7,61.7,53.0,65.1,d
6484,17,male,public,diploma,0.8,57.8,yes,15-30 min,no,notes,21.4,38.5,41.8,37.2,f
6485,19,other,private,graduate,0.6,82.5,yes,<15 min,yes,mixed,31.0,49.6,39.1,33.1,f
6486,17,male,public,post graduate,3.6,78.0,yes,15-30 min,no,notes,74.3,66.0,64.8,54.1,e
6487,17,female,public,phd,4.2,56.2,yes,15-30 min,yes,group study,20.9,54.4,37.4,51.5,e
6488,14,female,public,high school,1.2,67.6,no,30-60 min,no,group study,50.7,44.4,39.6,33.0,f
6489,16,male,public,no formal,3.3,53.8,yes,30-60 min,yes,group study,56.2,55.6,65.0,57.0,d
6490,16,other,private,high school,5.3,67.7,yes,>60 min,yes,group study,86.7,92.5,81.9,74.9,c
6491,17,other,public,phd,3.6,84.6,yes,<15 min,no,coaching,81.2,78.3,54.9,61.6,d
6492,15,male,private,diploma,2.6,53.0,yes,>60 min,no,online videos,43.7,28.4,39.7,36.9,f
6493,14,female,private,no formal,0.8,65.6,yes,<15 min,yes,textbook,24.4,15.6,34.4,25.6,f
6494,15,male,private,post graduate,2.3,90.8,yes,<15 min,yes,coaching,51.1,51.2,50.4,51.0,e
6495,14,female,private,diploma,5.0,77.1,yes,30-60 min,no,group study,64.0,66.6,71.2,71.2,c
6496,17,male,public,graduate,2.3,56.7,yes,15-30 min,yes,notes,37.5,61.2,55.2,48.0,e
6497,18,female,public,no formal,4.3,50.7,yes,15-30 min,yes,textbook,55.3,50.2,65.7,53.8,e
6498,18,male,public,post graduate,3.3,76.6,yes,15-30 min,yes,group study,66.8,52.0,37.1,54.0,e
6499,16,male,private,no formal,1.5,67.7,yes,30-60 min,yes,notes,64.6,32.6,53.9,46.7,e
6500,16,male,public,high school,1.5,60.9,yes,15-30 min,no,mixed,35.7,27.8,49.1,35.1,f
6501,18,female,private,graduate,3.3,64.3,yes,30-60 min,no,notes,72.3,56.4,73.6,58.3,d
6502,14,female,private,no formal,7.5,94.7,yes,<15 min,no,textbook,100.0,100.0,84.6,95.6,a
6503,16,other,private,post graduate,7.9,68.5,yes,>60 min,no,coaching,93.3,81.8,96.3,90.8,b
6504,19,other,private,no formal,6.8,84.1,yes,<15 min,no,coaching,100.0,100.0,100.0,95.4,a
6505,17,male,public,phd,4.8,84.4,yes,30-60 min,yes,group study,72.7,68.9,88.1,73.1,c
6506,16,other,private,high school,1.0,66.5,yes,30-60 min,yes,group study,46.3,28.5,35.6,42.0,e
6507,16,female,public,post graduate,1.5,70.4,yes,30-60 min,no,textbook,27.8,33.4,26.8,40.5,e
6508,15,female,private,no formal,0.8,57.3,yes,15-30 min,no,mixed,33.1,32.6,31.0,36.8,f
6509,17,female,public,graduate,4.1,76.5,yes,<15 min,yes,textbook,57.2,53.0,63.7,54.4,e
6510,15,female,public,diploma,5.0,51.3,yes,15-30 min,no,mixed,61.8,51.5,54.7,61.3,d
6511,16,male,private,phd,6.7,98.5,no,15-30 min,yes,textbook,91.7,87.7,70.7,83.2,c
6512,14,other,public,high school,5.5,50.6,yes,<15 min,no,group study,75.8,59.2,80.7,71.2,c
6513,17,male,private,graduate,3.9,67.7,no,30-60 min,yes,group study,57.0,58.2,73.2,62.0,d
6514,17,other,private,graduate,8.0,98.0,yes,15-30 min,no,coaching,76.8,93.5,100.0,100.0,a
6515,16,male,public,phd,3.7,60.3,no,>60 min,yes,online videos,45.4,69.7,51.2,61.1,d
6516,17,other,private,high school,3.1,99.0,yes,30-60 min,no,notes,68.5,87.7,50.1,72.2,c
6517,17,other,public,graduate,3.6,79.1,no,15-30 min,no,notes,53.4,54.2,48.9,64.0,d
6518,17,other,public,high school,4.4,81.4,yes,30-60 min,yes,mixed,82.9,59.1,54.9,59.6,d
6519,14,other,public,high school,3.9,96.0,no,30-60 min,yes,online videos,44.6,58.4,59.5,60.5,d
6520,18,male,public,phd,5.6,96.8,yes,<15 min,no,mixed,92.4,90.3,100.0,86.3,b
6521,15,other,public,diploma,2.0,51.9,no,30-60 min,yes,group study,33.3,33.3,52.9,38.5,f
6522,15,other,private,phd,2.8,93.4,yes,<15 min,no,textbook,52.1,68.9,64.6,64.1,d
6523,19,other,public,post graduate,0.6,78.5,yes,15-30 min,no,notes,47.8,50.8,34.7,40.0,e
6524,16,other,private,high school,1.1,63.6,yes,<15 min,no,coaching,19.8,25.7,27.6,31.9,f
6525,16,other,public,post graduate,5.0,59.4,yes,<15 min,yes,notes,50.3,80.4,72.7,67.8,d
6526,19,other,public,post graduate,5.2,72.9,yes,<15 min,yes,mixed,60.8,50.7,56.7,66.3,d
6527,19,female,public,graduate,2.0,74.6,yes,15-30 min,no,coaching,45.7,43.3,65.7,54.9,e
6528,18,female,private,diploma,3.8,53.2,yes,<15 min,yes,mixed,43.9,54.0,51.4,43.1,e
6529,14,male,public,phd,6.5,52.9,yes,>60 min,yes,online videos,87.7,83.4,80.7,77.1,c
6530,19,other,public,post graduate,2.2,55.2,yes,>60 min,no,group study,23.7,38.5,49.4,36.2,f
6531,17,male,private,high school,2.2,64.6,no,30-60 min,no,group study,54.0,43.0,31.0,43.7,e
6532,14,other,public,phd,1.2,97.0,no,30-60 min,yes,textbook,63.3,46.4,56.5,57.1,d
6533,14,female,public,phd,7.5,59.3,yes,>60 min,yes,textbook,75.8,65.8,97.6,76.8,c
6534,18,female,private,diploma,3.1,72.0,yes,<15 min,yes,notes,47.6,78.2,71.2,58.1,d
6535,16,female,private,diploma,7.4,95.4,yes,30-60 min,no,notes,95.5,75.8,100.0,93.9,b
6536,15,other,private,post graduate,7.4,80.2,yes,30-60 min,no,textbook,98.6,82.0,90.4,85.7,b
6537,16,other,public,diploma,0.7,88.6,yes,>60 min,no,mixed,25.3,35.2,38.2,35.9,f
6538,16,female,private,post graduate,5.8,67.0,yes,>60 min,yes,textbook,70.4,64.0,69.2,66.2,d
6539,14,other,public,post graduate,1.3,51.7,yes,<15 min,no,notes,44.7,51.6,32.1,37.2,f
6540,18,female,private,diploma,6.5,92.7,yes,>60 min,no,coaching,91.5,98.1,98.9,94.7,b
6541,19,female,public,phd,7.6,72.7,yes,30-60 min,no,coaching,65.5,59.2,78.9,81.4,c
6542,14,female,public,graduate,1.1,87.4,no,30-60 min,yes,mixed,35.9,29.6,30.2,39.8,f
6543,17,other,public,phd,1.7,89.2,yes,15-30 min,no,group study,52.3,51.6,67.8,52.5,e
6544,19,female,public,graduate,7.1,52.7,yes,15-30 min,yes,group study,71.6,69.5,89.2,68.6,d
6545,18,male,public,no formal,1.7,67.1,yes,30-60 min,yes,notes,58.6,30.3,40.9,40.1,e
6546,17,female,public,phd,1.2,83.7,yes,>60 min,no,textbook,44.9,43.6,33.6,42.5,e
6547,17,male,private,graduate,3.3,89.1,yes,<15 min,yes,notes,46.6,61.4,58.0,60.9,d
6548,19,male,private,phd,6.6,59.2,no,15-30 min,no,online videos,71.5,100.0,83.0,85.9,b
6549,16,male,public,diploma,7.0,72.3,yes,15-30 min,yes,mixed,97.8,95.6,83.8,93.5,b
6550,18,female,private,post graduate,6.7,58.2,yes,15-30 min,no,coaching,66.7,61.8,53.0,69.4,d
6551,17,male,private,no formal,7.8,63.4,yes,15-30 min,yes,online videos,88.8,95.8,92.7,88.9,b
6552,17,female,private,post graduate,7.1,59.4,yes,30-60 min,yes,textbook,95.4,83.5,92.5,87.2,b
6553,19,other,private,high school,2.3,73.3,yes,<15 min,no,mixed,36.1,42.8,38.2,49.5,e
6554,17,other,public,post graduate,6.3,67.8,no,15-30 min,yes,textbook,76.0,71.9,64.8,86.5,b
6555,18,other,public,diploma,5.4,68.2,yes,>60 min,yes,online videos,50.3,77.3,75.2,62.1,d
6556,16,male,public,high school,2.4,53.8,yes,>60 min,yes,notes,50.5,44.9,35.6,48.5,e
6557,17,female,public,post graduate,7.6,79.8,no,<15 min,yes,mixed,77.5,95.8,100.0,95.8,a
6558,19,male,public,diploma,3.3,95.3,yes,<15 min,no,coaching,67.8,60.0,73.6,66.0,d
6559,16,female,public,high school,0.7,59.6,yes,>60 min,no,group study,41.4,28.5,28.3,36.2,f
6560,16,male,private,high school,7.7,98.8,yes,30-60 min,no,mixed,100.0,98.8,96.9,100.0,a
6561,19,other,public,high school,5.2,66.4,yes,<15 min,yes,online videos,82.8,71.5,78.2,68.9,d
6562,19,male,private,no formal,4.0,93.9,yes,<15 min,no,group study,80.2,93.9,87.6,76.8,c
6563,19,male,private,graduate,6.3,91.1,yes,30-60 min,no,mixed,81.9,60.1,67.9,77.3,c
6564,19,other,public,post graduate,3.1,60.3,no,>60 min,yes,notes,68.0,56.1,71.6,53.2,e
6565,14,female,private,post graduate,6.6,63.4,yes,>60 min,yes,textbook,78.1,85.6,83.7,80.0,c
6566,16,female,public,graduate,5.5,63.6,yes,15-30 min,yes,notes,75.1,77.6,60.9,71.6,c
6567,16,male,public,high school,4.8,83.7,yes,30-60 min,yes,group study,68.1,75.2,75.5,63.1,d
6568,16,female,private,post graduate,5.8,87.8,yes,15-30 min,no,mixed,80.6,85.5,69.7,81.4,c
6569,16,female,private,diploma,5.7,57.9,yes,<15 min,yes,mixed,63.6,56.1,73.5,71.7,c
6570,18,female,public,diploma,1.4,62.6,no,>60 min,yes,coaching,21.9,34.9,36.2,36.5,f
6571,17,female,public,post graduate,1.9,62.1,yes,30-60 min,yes,online videos,46.9,40.1,52.6,46.6,e
6572,18,female,public,graduate,5.6,82.3,yes,>60 min,yes,group study,81.4,92.1,75.2,84.4,c
6573,19,female,public,graduate,4.3,68.9,no,15-30 min,no,coaching,66.0,58.9,53.5,69.4,d
6574,14,other,private,no formal,5.1,96.4,yes,15-30 min,no,group study,86.3,76.0,76.5,73.1,c
6575,19,other,private,post graduate,4.4,72.9,yes,>60 min,yes,textbook,63.2,45.3,45.1,56.4,d
6576,14,male,public,graduate,0.6,70.9,yes,<15 min,no,textbook,35.3,47.9,35.1,43.0,e
6577,17,other,private,high school,2.7,51.8,yes,30-60 min,no,online videos,37.2,44.5,41.5,43.6,e
6578,15,female,private,graduate,1.0,53.9,yes,<15 min,no,group study,35.6,20.2,7.3,19.8,f
6579,15,male,public,post graduate,3.7,79.2,yes,<15 min,no,group study,60.3,57.4,33.1,54.9,e
6580,17,male,public,diploma,1.4,64.3,yes,>60 min,no,group study,21.1,43.7,43.6,35.7,f
6581,18,female,public,no formal,3.2,89.8,yes,15-30 min,no,group study,69.2,32.8,59.9,54.3,e
6582,19,other,public,post graduate,3.9,82.8,yes,30-60 min,no,notes,66.2,55.5,59.4,57.8,d
6583,15,other,private,no formal,7.0,66.8,yes,15-30 min,no,notes,100.0,97.5,84.9,92.1,b
6584,17,female,private,phd,1.1,58.6,yes,<15 min,yes,coaching,15.2,28.0,18.4,23.8,f
6585,17,female,private,no formal,2.3,66.6,yes,<15 min,no,group study,50.1,67.2,35.0,52.9,e
6586,19,female,public,graduate,2.9,77.1,yes,>60 min,yes,notes,60.4,52.9,50.1,61.2,d
6587,16,female,private,phd,5.0,85.4,yes,30-60 min,no,textbook,66.2,98.1,70.7,80.5,c
6588,14,male,public,diploma,3.5,58.3,no,>60 min,yes,mixed,35.1,36.0,50.1,44.7,e
6589,17,female,private,diploma,3.6,50.9,yes,15-30 min,no,group study,35.7,55.2,44.2,50.2,e
6590,15,female,public,high school,7.9,50.0,yes,>60 min,yes,mixed,78.3,81.6,58.7,73.5,c
6591,17,other,private,graduate,1.7,85.3,yes,15-30 min,no,notes,47.0,54.5,44.0,47.2,e
6592,19,other,public,post graduate,1.6,85.9,yes,30-60 min,yes,coaching,43.5,45.8,38.1,50.2,e
6593,18,other,private,high school,5.8,82.4,yes,>60 min,yes,online videos,88.6,96.9,100.0,79.8,c
6594,18,other,public,post graduate,2.9,89.6,yes,30-60 min,yes,coaching,65.7,48.8,71.8,63.3,d
6595,18,male,public,phd,7.3,86.5,no,15-30 min,no,mixed,81.3,100.0,86.7,90.9,b
6596,16,female,public,graduate,4.2,78.5,yes,<15 min,no,notes,84.7,56.9,64.4,67.7,d
6597,14,other,public,phd,7.2,50.2,yes,<15 min,yes,coaching,67.1,82.3,77.3,85.1,b
6598,17,other,public,graduate,5.3,70.7,no,<15 min,yes,textbook,92.0,95.1,55.6,74.4,c
6599,14,female,private,graduate,1.6,62.8,yes,15-30 min,no,mixed,28.2,39.1,18.0,34.0,f
6600,19,male,public,diploma,4.3,95.2,yes,<15 min,yes,online videos,65.3,81.8,79.3,81.3,c
6601,15,female,public,high school,4.8,51.8,no,15-30 min,no,coaching,44.8,51.9,64.4,52.3,e
6602,19,male,public,no formal,2.7,54.8,yes,30-60 min,yes,online videos,27.5,50.4,31.5,44.4,e
6603,18,other,private,post graduate,4.8,64.8,yes,30-60 min,yes,group study,80.8,65.1,65.2,68.9,d
6604,19,other,private,high school,5.8,84.8,yes,<15 min,no,coaching,75.7,81.8,89.8,78.9,c
6605,18,male,public,post graduate,4.0,86.4,yes,30-60 min,yes,textbook,76.1,57.7,51.8,68.2,d
6606,18,female,public,diploma,3.5,97.3,yes,<15 min,yes,online videos,58.5,67.3,49.8,57.1,d
6607,16,female,public,diploma,3.4,79.5,yes,15-30 min,no,textbook,68.0,63.5,77.8,65.5,d
6608,17,male,private,high school,0.7,51.7,yes,30-60 min,no,notes,24.4,41.4,17.0,30.6,f
6609,15,female,private,diploma,5.5,77.2,yes,>60 min,yes,coaching,81.7,83.0,66.0,81.3,c
6610,15,other,public,post graduate,3.4,67.1,yes,30-60 min,no,coaching,47.6,75.6,51.9,62.0,d
6611,18,female,private,phd,2.8,73.4,yes,15-30 min,yes,mixed,42.5,59.7,43.2,46.9,e
6612,16,other,public,graduate,1.5,96.8,yes,>60 min,no,coaching,42.4,29.9,53.9,48.7,e
6613,19,other,public,high school,4.7,51.7,yes,30-60 min,yes,mixed,55.5,79.3,74.0,67.4,d
6614,17,female,private,high school,7.7,64.3,yes,<15 min,yes,coaching,100.0,87.4,98.5,95.6,a
6615,16,female,private,graduate,7.2,76.9,yes,30-60 min,no,textbook,79.4,100.0,73.9,86.4,b
6616,19,other,private,post graduate,4.0,72.6,yes,15-30 min,yes,online videos,59.8,56.2,67.5,56.3,d
6617,16,female,private,graduate,6.5,55.7,yes,30-60 min,yes,notes,73.4,100.0,94.3,75.6,c
6618,18,other,public,high school,7.9,81.2,yes,15-30 min,no,coaching,100.0,97.5,87.5,100.0,a
6619,17,other,private,phd,2.0,62.4,yes,>60 min,no,notes,38.3,38.0,43.5,37.8,f
6620,16,male,public,diploma,5.2,90.2,no,<15 min,no,group study,68.6,80.3,84.0,81.4,c
6621,18,female,public,no formal,2.4,52.1,no,30-60 min,no,group study,27.2,34.4,43.1,39.3,f
6622,15,female,private,graduate,7.2,67.0,yes,30-60 min,yes,notes,92.3,78.9,68.7,85.5,b
6623,17,male,private,no formal,6.8,62.8,yes,<15 min,no,coaching,75.4,74.9,66.5,81.5,c
6624,16,male,private,post graduate,4.3,76.4,yes,15-30 min,no,online videos,72.3,88.5,77.3,73.6,c
6625,16,female,private,graduate,5.7,77.2,yes,30-60 min,no,coaching,78.1,73.0,62.0,68.9,d
6626,16,female,private,no formal,2.4,95.4,yes,>60 min,yes,notes,50.5,47.2,75.1,56.8,d
6627,15,male,private,no formal,7.2,89.1,yes,15-30 min,yes,textbook,76.8,82.4,100.0,85.1,b
6628,15,other,private,graduate,6.5,97.4,no,30-60 min,no,coaching,89.5,69.7,94.3,81.3,c
6629,14,other,private,no formal,0.9,70.9,yes,30-60 min,no,mixed,50.7,49.9,52.2,45.0,e
6630,19,male,private,diploma,0.8,83.1,yes,30-60 min,no,mixed,49.9,37.7,39.3,40.9,e
6631,16,female,public,phd,4.1,62.8,yes,>60 min,no,textbook,47.4,55.9,71.5,50.2,e
6632,18,male,public,high school,1.3,60.2,yes,>60 min,no,online videos,20.8,17.5,13.8,25.6,f
6633,18,female,private,post graduate,4.3,75.8,yes,<15 min,yes,mixed,67.9,50.9,77.6,55.3,d
6634,14,other,public,diploma,2.1,76.2,no,<15 min,no,mixed,54.8,33.5,38.2,39.6,f
6635,14,other,public,diploma,3.2,66.0,yes,>60 min,no,notes,62.6,72.2,58.3,59.4,d
6636,18,male,private,no formal,7.7,59.0,no,>60 min,no,online videos,74.4,89.2,98.1,93.8,b
6637,19,male,public,post graduate,7.0,84.0,yes,15-30 min,no,online videos,85.2,77.0,86.5,83.1,c
6638,18,other,private,high school,7.6,54.7,yes,30-60 min,yes,textbook,88.8,97.9,87.2,90.2,b
6639,14,other,private,post graduate,3.1,63.4,yes,>60 min,yes,notes,45.4,44.9,42.6,56.4,d
6640,19,male,private,no formal,2.3,57.0,yes,<15 min,yes,online videos,36.0,39.9,46.7,45.9,e
6641,15,other,private,diploma,5.1,84.3,yes,<15 min,yes,group study,41.0,56.6,51.7,65.9,d
6642,15,female,public,post graduate,7.0,100.0,yes,<15 min,no,mixed,100.0,100.0,100.0,100.0,a
6643,16,male,public,no formal,6.7,92.0,no,>60 min,no,mixed,94.0,100.0,98.1,98.1,a
6644,17,other,private,graduate,3.5,99.9,yes,30-60 min,yes,mixed,78.7,68.6,83.5,64.1,d
6645,18,female,public,phd,1.9,61.0,yes,>60 min,no,group study,56.8,38.4,33.0,34.1,f
6646,15,male,public,diploma,4.0,60.0,yes,30-60 min,no,group study,45.1,48.9,42.1,49.2,e
6647,16,female,private,diploma,2.7,97.1,yes,<15 min,no,coaching,64.8,48.2,52.3,56.5,d
6648,15,female,private,graduate,2.5,55.5,yes,<15 min,no,group study,47.7,40.1,37.2,37.8,f
6649,15,male,public,high school,3.0,97.2,no,<15 min,no,textbook,64.3,40.3,76.6,63.3,d
6650,19,other,private,no formal,4.4,80.1,no,<15 min,no,coaching,53.2,65.5,57.2,66.0,d
6651,16,other,private,post graduate,7.4,99.4,yes,>60 min,no,online videos,100.0,100.0,95.3,100.0,a
6652,16,other,private,post graduate,4.0,55.9,yes,30-60 min,yes,textbook,64.8,88.4,61.7,63.9,d
6653,16,male,public,post graduate,4.3,88.6,yes,15-30 min,yes,coaching,59.0,59.6,74.3,68.2,d
6654,16,other,private,high school,7.5,68.8,yes,30-60 min,yes,mixed,77.2,79.1,87.4,84.1,c
6655,18,female,public,diploma,6.7,62.2,yes,30-60 min,no,coaching,60.0,61.2,65.1,72.5,c
